PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_356	chr11	62609110	62609281	+	114360	NA	Intergenic--9789	U2|snRNA|snRNA	-1567	NM_018093	54663	Hs.654620	NM_018093	ENSG00000133316	WDR74	-	WD repeat domain 74	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_351	chr11	61735004	61735103	+	58580	NA	5' UTR (NM_002032, exon 1 of 4)	promoter-TSS (NM_002032)	79	NM_002032	2495	Hs.524910	NM_002032	ENSG00000167996	FTH1	FHC|FTH|FTHL6|HFE5|PIG15|PLIF	ferritin, heavy polypeptide 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2096g	chrM	1542	2719	+	36566	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1363	chr3	134502337	134502398	+	31476	NA	Intergenic--3484	5S|rRNA|rRNA	-11732	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2097d	chrM	2846	3245	+	21892	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_276	chr10	103124615	103124777	+	21318	NA	intron (NM_003939, intron 1 of 13)	U2|snRNA|snRNA	10906	NM_001256856	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2096d	chrM	1542	2719	+	20374	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_343	chr11	57587105	57587168	+	12622	NA	Intergenic	TTS (NM_001085463)	57902	NM_001085465	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin (cadherin-associated protein), delta 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_455	chr12	7052980	7053057	+	9313	NA	5' UTR (NM_001301838, exon 1 of 3)	promoter-TSS (NM_001301838)	38	NM_001301838	113246	Hs.405913	NM_138425	ENSG00000111678	C12orf57	C10|GRCC10	chromosome 12 open reading frame 57	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2051	chrX	75875478	75875528	+	8286	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
